2026-06-30 13:32:35.767
2026-06-30 13:32:35.779 12
2026-06-30 13:32:35.779 14
2026-06-30 13:32:35.780 13
2026-06-30 13:32:35.780 13
2026-06-30 13:32:35.780 13
2026-06-30 13:32:35.780 15
2026-06-30 13:32:35.781 15
2026-06-30 13:32:35.781 12
2026-06-30 13:32:35.781 15
2026-06-30 13:32:35.781 15
2026-06-30 13:32:35.782 14
2026-06-30 13:32:35.782 10
2026-06-30 13:32:35.782 11
2026-06-30 13:32:35.783 16
2026-06-30 13:32:35.783 12
2026-06-30 13:32:35.783 15
2026-06-30 13:32:35.783 12
2026-06-30 13:32:35.784 16
2026-06-30 13:32:35.784 12
2026-06-30 13:32:35.784 12
2026-06-30 13:32:35.784 16
2026-06-30 13:32:35.785 11
2026-06-30 13:32:35.785 17
2026-06-30 13:32:35.785 13
2026-06-30 13:32:35.786 12
2026-06-30 13:32:35.786 11
2026-06-30 13:32:35.786 13
2026-06-30 13:32:35.786 13
2026-06-30 13:32:35.786 11
2026-06-30 13:32:35.787 16
2026-06-30 13:32:35.787 14
2026-06-30 13:32:35.787 10
2026-06-30 13:32:35.788 11
2026-06-30 13:32:35.788 10
2026-06-30 13:32:35.788 17
2026-06-30 13:32:35.788 13
2026-06-30 13:32:35.789 15
2026-06-30 13:32:35.789 13
2026-06-30 13:32:35.789 12
2026-06-30 13:32:35.789 10
2026-06-30 13:32:35.790 11
2026-06-30 13:32:35.790 10
2026-06-30 13:32:35.790 11
2026-06-30 13:32:35.790 11
2026-06-30 13:32:35.791 17
2026-06-30 13:32:35.791 14
2026-06-30 13:32:35.791 13
2026-06-30 13:32:35.792 15
2026-06-30 13:32:35.792 16
2026-06-30 13:32:35.792 13
2026-06-30 13:32:35.792 14
2026-06-30 13:32:35.793 10
2026-06-30 13:32:35.793 13
2026-06-30 13:32:35.793 14
2026-06-30 13:32:35.793 11
2026-06-30 13:32:35.794 10
2026-06-30 13:32:35.794 17
2026-06-30 13:32:35.844 19
2026-06-30 13:32:35.844 14
2026-06-30 13:32:35.845 10
2026-06-30 13:32:35.845 19
2026-06-30 13:32:35.845 11
2026-06-30 13:32:35.845 15
2026-06-30 13:32:35.845 13
2026-06-30 13:32:35.845 13
2026-06-30 13:32:35.845 13
2026-06-30 13:32:35.845 11
2026-06-30 13:32:35.845 13
2026-06-30 13:32:35.845 19
2026-06-30 13:32:35.846 12
2026-06-30 13:32:35.846 11
2026-06-30 13:32:35.846 16
2026-06-30 13:32:35.846 13
2026-06-30 13:32:35.846 16
2026-06-30 13:32:35.846 11
2026-06-30 13:32:35.846 16
2026-06-30 13:32:35.846 11
2026-06-30 13:32:35.846 11
2026-06-30 13:32:35.846 13
2026-06-30 13:32:35.847 16
2026-06-30 13:32:35.847 16
2026-06-30 13:32:35.847 13
2026-06-30 13:32:35.847 15
2026-06-30 13:32:35.847 19
2026-06-30 13:32:35.847 15
2026-06-30 13:32:35.847 13
2026-06-30 13:32:35.847 12
2026-06-30 13:32:35.848 19
2026-06-30 13:32:35.848 15
2026-06-30 13:32:35.848 16
2026-06-30 13:32:35.848 16
2026-06-30 13:32:35.848 15
2026-06-30 13:32:35.848 13
2026-06-30 13:32:35.848 11
